Geneid	Case1	Case2	Control1	Control2
ENSG00000137094.16	0	2	0	0
ENSG00000273597.1	45	0	0	3
ENSG00000279489.1	0	0	0	20
ENSG00000233148.2	10	0	0	0
ENSG00000286782.1	13	0	0	19
ENSG00000287868.1	43	82	49	0
ENSG00000279608.1	61	102	65	0
ENSG00000174038.13	0	0	0	0
ENSG00000241568.3	0	0	0	7
ENSG00000165280.18	0	191	0	0
ENSG00000288699.1	0	0	0	3
ENSG00000221829.11	0	94	0	123
ENSG00000165282.14	0	215	15	9
ENSG00000234181.1	3	0	1	0
ENSG00000165283.16	0	0	0	10
ENSG00000005238.20	18	1	23	17
ENSG00000215198.3	1	1	1	18
ENSG00000198722.15	1	7	1	19
ENSG00000279083.1	0	0	0	0
ENSG00000179766.19	18	2	189	149
ENSG00000244213.1	0	0	0	0
ENSG00000198853.12	1	51	1	15
ENSG00000287287.1	0	0	0	0
ENSG00000235619.1	0	0	0	0
ENSG00000215187.13	13	0	78	29
ENSG00000227852.1	0	0	0	0
ENSG00000288586.1	88	0	87	21
ENSG00000107140.16	1	0	148	45
ENSG00000263892.3	0	0	0	0
ENSG00000137101.14	1	2	193	0
ENSG00000231393.1	0	0	0	0
ENSG00000227933.1	6	9	0	2
ENSG00000137078.10	0	3	33	23
ENSG00000269900.3	0	0	0	0
ENSG00000277027.1	0	0	0	0
ENSG00000159884.12	6	0	37	6
ENSG00000137135.18	81	0	19	23
ENSG00000243136.3	0	0	0	0
ENSG00000107159.14	68	11	9	0
ENSG00000198467.16	21	44	36	0
ENSG00000137076.21	11	17	31	2
ENSG00000284195.1	0	0	0	0
ENSG00000107175.12	0	8	92	126
ENSG00000273945.1	0	0	0	0
ENSG00000070610.14	221	33	174	30
ENSG00000107185.10	130	14	186	168
ENSG00000215183.5	0	0	0	0
ENSG00000228843.2	0	0	0	0
ENSG00000227388.3	0	16	0	50
ENSG00000159899.16	0	76	0	238
ENSG00000137098.14	24	55	1	95
ENSG00000137133.11	0	0	0	0
ENSG00000285645.1	16	3	0	0
ENSG00000137103.20	11	33	4	22
ENSG00000204930.10	0	0	0	0
ENSG00000236083.2	0	0	0	0
ENSG00000168828.6	0	20	0	0
ENSG00000233659.1	6	0	0	8
ENSG00000196196.3	27	32	25	1
ENSG00000235387.5	0	0	0	13
ENSG00000287986.1	0	0	0	0
ENSG00000225639.1	29	0	4	0
ENSG00000278889.4	0	0	31	0
ENSG00000228307.2	6	42	42	1
ENSG00000213866.3	0	0	0	0
ENSG00000179443.5	0	0	0	0
ENSG00000243641.3	0	0	0	0
ENSG00000236110.1	0	4	0	0
ENSG00000122707.12	96	32	0	12
ENSG00000276730.1	0	0	0	0
ENSG00000122694.16	60	45	6	5
ENSG00000185972.6	7	10	8	64
ENSG00000122705.17	62	1	3	56
ENSG00000159921.20	0	0	0	0
ENSG00000222760.1	0	0	0	0
ENSG00000215283.3	3	0	2	0
ENSG00000137075.18	1	88	24	42
ENSG00000165304.8	188	28	71	0
ENSG00000288571.1	43	11	12	0
ENSG00000287514.2	155	99	42	2
ENSG00000266255.1	0	0	0	0
ENSG00000196092.14	2	18	2	63
ENSG00000258885.1	0	0	0	0
ENSG00000264922.1	0	0	0	0
ENSG00000265368.1	0	0	0	0
ENSG00000250850.2	0	0	0	0
ENSG00000125385.9	11	6	0	0
ENSG00000232920.1	41	0	0	41
ENSG00000260100.1	31	1	27	0
ENSG00000281649.3	0	0	35	22
ENSG00000233242.3	52	8	11	74
ENSG00000147905.18	2	6	5	8
ENSG00000200502.1	0	0	0	0
ENSG00000228292.1	0	0	0	0
ENSG00000206784.1	0	0	0	0
ENSG00000252723.2	0	0	0	0
ENSG00000224648.1	0	0	0	0
ENSG00000137106.18	0	36	4	0
ENSG00000236156.2	0	0	0	0
ENSG00000168795.5	211	57	17	1
ENSG00000187988.5	0	21	1	1
ENSG00000137054.16	0	158	25	128
ENSG00000230188.1	0	0	0	0
ENSG00000234160.1	0	0	0	0
ENSG00000147912.13	0	0	0	0
ENSG00000256966.6	1	0	0	19
ENSG00000175768.13	0	0	0	0
ENSG00000255872.3	11	18	35	22
ENSG00000233111.1	0	0	0	0
ENSG00000070601.10	0	0	0	0
ENSG00000201287.1	0	0	0	0
ENSG00000165275.10	0	0	0	0
ENSG00000107371.14	0	0	0	0
ENSG00000289295.1	0	0	0	0
ENSG00000122741.16	0	0	0	0
ENSG00000232454.2	0	0	0	0
ENSG00000226055.2	0	0	0	0
ENSG00000122696.14	0	0	0	0
ENSG00000213839.4	0	0	0	0
ENSG00000107338.10	0	0	0	0
ENSG00000251745.1	0	0	0	0
ENSG00000200026.1	0	0	0	0
ENSG00000223716.2	32	3	26	0
ENSG00000137124.8	0	0	0	118
ENSG00000137142.5	0	147	10	91
ENSG00000283162.2	33	33	12	33
ENSG00000225254.2	0	0	0	0
ENSG00000215165.3	0	0	0	0
ENSG00000229511.1	0	0	0	0
ENSG00000237487.1	0	0	0	0
ENSG00000243085.1	0	0	0	0
ENSG00000176007.10	0	0	0	0
ENSG00000273036.3	0	0	0	0
ENSG00000283486.2	0	21	0	0
ENSG00000272934.1	0	0	0	0
ENSG00000272904.1	0	0	0	0
ENSG00000225345.3	0	0	0	0
ENSG00000180071.20	10	7	22	25
ENSG00000204860.5	40	6	0	0
ENSG00000237557.1	0	0	27	19
ENSG00000284612.2	45	0	0	16
ENSG00000252725.1	0	0	0	0
ENSG00000283329.2	1	55	1	32
ENSG00000228467.2	4	13	23	24
ENSG00000287838.1	28	25	21	11
ENSG00000234680.1	23	0	1	74
ENSG00000106714.18	16	78	38	22
ENSG00000226625.1	0	0	0	0
ENSG00000271454.1	0	0	0	0
ENSG00000243695.1	0	0	0	0
ENSG00000278825.1	0	0	0	0
ENSG00000204849.10	4	8	19	15
ENSG00000277024.1	9	4	1	13
ENSG00000215112.6	0	16	11	4
ENSG00000224038.1	11	8	0	8
ENSG00000231140.3	0	0	0	0
ENSG00000198416.9	5	124	4	98
ENSG00000229707.1	0	0	0	0
ENSG00000269692.1	19	61	44	19
ENSG00000273994.1	0	15	16	1
ENSG00000234720.3	1	20	0	41
ENSG00000278175.5	0	28	52	17
ENSG00000226108.2	0	0	0	0
ENSG00000232239.2	0	0	0	0
